mechanism,case,trial,expected,command_rc,decision_correct,state_correct,observed
AppArmor,direct_write,1,deny,1,1,1,deny
AppArmor,direct_write,2,deny,1,1,1,deny
AppArmor,direct_write,3,deny,1,1,1,deny
AppArmor,direct_write,4,deny,1,1,1,deny
AppArmor,direct_write,5,deny,1,1,1,deny
AppArmor,direct_write,6,deny,1,1,1,deny
AppArmor,direct_write,7,deny,1,1,1,deny
AppArmor,direct_write,8,deny,1,1,1,deny
AppArmor,direct_write,9,deny,1,1,1,deny
AppArmor,direct_write,10,deny,1,1,1,deny
AppArmor,direct_write,11,deny,1,1,1,deny
AppArmor,direct_write,12,deny,1,1,1,deny
AppArmor,direct_write,13,deny,1,1,1,deny
AppArmor,direct_write,14,deny,1,1,1,deny
AppArmor,direct_write,15,deny,1,1,1,deny
AppArmor,direct_write,16,deny,1,1,1,deny
AppArmor,direct_write,17,deny,1,1,1,deny
AppArmor,direct_write,18,deny,1,1,1,deny
AppArmor,direct_write,19,deny,1,1,1,deny
AppArmor,direct_write,20,deny,1,1,1,deny
AppArmor,direct_write,21,deny,1,1,1,deny
AppArmor,direct_write,22,deny,1,1,1,deny
AppArmor,direct_write,23,deny,1,1,1,deny
AppArmor,direct_write,24,deny,1,1,1,deny
AppArmor,direct_write,25,deny,1,1,1,deny
AppArmor,direct_write,26,deny,1,1,1,deny
AppArmor,direct_write,27,deny,1,1,1,deny
AppArmor,direct_write,28,deny,1,1,1,deny
AppArmor,direct_write,29,deny,1,1,1,deny
AppArmor,direct_write,30,deny,1,1,1,deny
AppArmor,direct_write,31,deny,1,1,1,deny
AppArmor,direct_write,32,deny,1,1,1,deny
AppArmor,direct_write,33,deny,1,1,1,deny
AppArmor,direct_write,34,deny,1,1,1,deny
AppArmor,direct_write,35,deny,1,1,1,deny
AppArmor,direct_write,36,deny,1,1,1,deny
AppArmor,direct_write,37,deny,1,1,1,deny
AppArmor,direct_write,38,deny,1,1,1,deny
AppArmor,direct_write,39,deny,1,1,1,deny
AppArmor,direct_write,40,deny,1,1,1,deny
AppArmor,direct_write,41,deny,1,1,1,deny
AppArmor,direct_write,42,deny,1,1,1,deny
AppArmor,direct_write,43,deny,1,1,1,deny
AppArmor,direct_write,44,deny,1,1,1,deny
AppArmor,direct_write,45,deny,1,1,1,deny
AppArmor,direct_write,46,deny,1,1,1,deny
AppArmor,direct_write,47,deny,1,1,1,deny
AppArmor,direct_write,48,deny,1,1,1,deny
AppArmor,direct_write,49,deny,1,1,1,deny
AppArmor,direct_write,50,deny,1,1,1,deny
AppArmor,direct_write,51,deny,1,1,1,deny
AppArmor,direct_write,52,deny,1,1,1,deny
AppArmor,direct_write,53,deny,1,1,1,deny
AppArmor,direct_write,54,deny,1,1,1,deny
AppArmor,direct_write,55,deny,1,1,1,deny
AppArmor,direct_write,56,deny,1,1,1,deny
AppArmor,direct_write,57,deny,1,1,1,deny
AppArmor,direct_write,58,deny,1,1,1,deny
AppArmor,direct_write,59,deny,1,1,1,deny
AppArmor,direct_write,60,deny,1,1,1,deny
AppArmor,direct_write,61,deny,1,1,1,deny
AppArmor,direct_write,62,deny,1,1,1,deny
AppArmor,direct_write,63,deny,1,1,1,deny
AppArmor,direct_write,64,deny,1,1,1,deny
AppArmor,direct_write,65,deny,1,1,1,deny
AppArmor,direct_write,66,deny,1,1,1,deny
AppArmor,direct_write,67,deny,1,1,1,deny
AppArmor,direct_write,68,deny,1,1,1,deny
AppArmor,direct_write,69,deny,1,1,1,deny
AppArmor,direct_write,70,deny,1,1,1,deny
AppArmor,direct_write,71,deny,1,1,1,deny
AppArmor,direct_write,72,deny,1,1,1,deny
AppArmor,direct_write,73,deny,1,1,1,deny
AppArmor,direct_write,74,deny,1,1,1,deny
AppArmor,direct_write,75,deny,1,1,1,deny
AppArmor,direct_write,76,deny,1,1,1,deny
AppArmor,direct_write,77,deny,1,1,1,deny
AppArmor,direct_write,78,deny,1,1,1,deny
AppArmor,direct_write,79,deny,1,1,1,deny
AppArmor,direct_write,80,deny,1,1,1,deny
AppArmor,direct_write,81,deny,1,1,1,deny
AppArmor,direct_write,82,deny,1,1,1,deny
AppArmor,direct_write,83,deny,1,1,1,deny
AppArmor,direct_write,84,deny,1,1,1,deny
AppArmor,direct_write,85,deny,1,1,1,deny
AppArmor,direct_write,86,deny,1,1,1,deny
AppArmor,direct_write,87,deny,1,1,1,deny
AppArmor,direct_write,88,deny,1,1,1,deny
AppArmor,direct_write,89,deny,1,1,1,deny
AppArmor,direct_write,90,deny,1,1,1,deny
AppArmor,direct_write,91,deny,1,1,1,deny
AppArmor,direct_write,92,deny,1,1,1,deny
