case,attempt,expected,exit_code,decision_correct,state_correct,pre_device,pre_inode,post_device,post_inode,pre_hash,post_hash,hardlink_device,hardlink_inode,hardlink_type,audit_evidence
direct_write,1,deny,13,1,1,37,196411,37,196411,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,196411,sentinelpath_protected_t,bounded_avc_log
direct_write,2,deny,13,1,1,37,196425,37,196425,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,196425,sentinelpath_protected_t,bounded_avc_log
direct_write,3,deny,13,1,1,37,196439,37,196439,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,196439,sentinelpath_protected_t,bounded_avc_log
direct_write,4,deny,13,1,1,37,196453,37,196453,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,196453,sentinelpath_protected_t,bounded_avc_log
direct_write,5,deny,13,1,1,37,196469,37,196469,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,196469,sentinelpath_protected_t,bounded_avc_log
direct_write,6,deny,13,1,1,37,196481,37,196481,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,196481,sentinelpath_protected_t,bounded_avc_log
direct_write,7,deny,13,1,1,37,196495,37,196495,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,196495,sentinelpath_protected_t,bounded_avc_log
direct_write,8,deny,13,1,1,37,196509,37,196509,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,196509,sentinelpath_protected_t,bounded_avc_log
direct_write,9,deny,13,1,1,37,196525,37,196525,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,196525,sentinelpath_protected_t,bounded_avc_log
direct_write,10,deny,13,1,1,37,196537,37,196537,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,196537,sentinelpath_protected_t,bounded_avc_log
direct_write,11,deny,13,1,1,37,196551,37,196551,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,196551,sentinelpath_protected_t,bounded_avc_log
direct_write,12,deny,13,1,1,37,196566,37,196566,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,196566,sentinelpath_protected_t,bounded_avc_log
