condition,trial,iterations,allowed,denied,total_ns,ns_per_operation
baseline_write,1,5000,5000,0,30512800,6102.560
baseline_read,1,5000,5000,0,32965800,6593.160
baseline_write,2,5000,5000,0,29194600,5838.920
baseline_read,2,5000,5000,0,29309300,5861.860
baseline_write,3,5000,5000,0,29647200,5929.440
baseline_read,3,5000,5000,0,31461100,6292.220
baseline_write,4,5000,5000,0,38446300,7689.260
baseline_read,4,5000,5000,0,29756400,5951.280
baseline_write,5,5000,5000,0,33317600,6663.520
baseline_read,5,5000,5000,0,27143700,5428.740
baseline_write,6,5000,5000,0,29492200,5898.440
baseline_read,6,5000,5000,0,38795000,7759.000
baseline_write,7,5000,5000,0,31387000,6277.400
baseline_read,7,5000,5000,0,31142200,6228.440
baseline_write,8,5000,5000,0,30919500,6183.900
baseline_read,8,5000,5000,0,33785700,6757.140
baseline_write,9,5000,5000,0,33518400,6703.680
baseline_read,9,5000,5000,0,28679600,5735.920
baseline_write,10,5000,5000,0,40289200,8057.840
baseline_read,10,5000,5000,0,29022500,5804.500
baseline_write,11,5000,5000,0,34496900,6899.380
baseline_read,11,5000,5000,0,35365500,7073.100
baseline_write,12,5000,5000,0,33220900,6644.180
baseline_read,12,5000,5000,0,29380400,5876.080
baseline_write,13,5000,5000,0,32275300,6455.060
baseline_read,13,5000,5000,0,29326900,5865.380
baseline_write,14,5000,5000,0,33353700,6670.740
baseline_read,14,5000,5000,0,25649200,5129.840
baseline_write,15,5000,5000,0,35297600,7059.520
baseline_read,15,5000,5000,0,28696900,5739.380
baseline_write,16,5000,5000,0,32706700,6541.340
baseline_read,16,5000,5000,0,31970700,6394.140
baseline_write,17,5000,5000,0,32024300,6404.860
baseline_read,17,5000,5000,0,27680500,5536.100
baseline_write,18,5000,5000,0,33746300,6749.260
baseline_read,18,5000,5000,0,31448400,6289.680
baseline_write,19,5000,5000,0,34273300,6854.660
baseline_read,19,5000,5000,0,44437100,8887.420
baseline_write,20,5000,5000,0,35020900,7004.180
baseline_read,20,5000,5000,0,29784900,5956.980
baseline_write,21,5000,5000,0,29603400,5920.680
baseline_read,21,5000,5000,0,24863900,4972.780
baseline_write,22,5000,5000,0,30315900,6063.180
baseline_read,22,5000,5000,0,24739800,4947.960
baseline_write,23,5000,5000,0,30230000,6046.000
baseline_read,23,5000,5000,0,28553900,5710.780
baseline_write,24,5000,5000,0,30500600,6100.120
baseline_read,24,5000,5000,0,25433600,5086.720
baseline_write,25,5000,5000,0,27275100,5455.020
baseline_read,25,5000,5000,0,23368200,4673.640
baseline_write,26,5000,5000,0,27353900,5470.780
baseline_read,26,5000,5000,0,23251100,4650.220
baseline_write,27,5000,5000,0,24386900,4877.380
baseline_read,27,5000,5000,0,23359000,4671.800
baseline_write,28,5000,5000,0,31414000,6282.800
baseline_read,28,5000,5000,0,24583700,4916.740
baseline_write,29,5000,5000,0,24095200,4819.040
baseline_read,29,5000,5000,0,23783200,4756.640
baseline_write,30,5000,5000,0,34106700,6821.340
baseline_read,30,5000,5000,0,28463500,5692.700
monitored_unrelated_write,1,5000,5000,0,32361600,6472.320
protected_read,1,5000,5000,0,30391800,6078.360
protected_unauthorized_write,1,1000,0,1000,2667200,2667.200
protected_authorized_write,1,1000,1000,0,8419700,8419.700
monitored_unrelated_write,2,5000,5000,0,33571300,6714.260
protected_read,2,5000,5000,0,29774300,5954.860
protected_unauthorized_write,2,1000,0,1000,3911700,3911.700
protected_authorized_write,2,1000,1000,0,13476200,13476.200
monitored_unrelated_write,3,5000,5000,0,32090800,6418.160
protected_read,3,5000,5000,0,30539300,6107.860
protected_unauthorized_write,3,1000,0,1000,6107000,6107.000
protected_authorized_write,3,1000,1000,0,8952300,8952.300
monitored_unrelated_write,4,5000,5000,0,36776600,7355.320
